,...1,Species,Colony,depth,Site,File,Time,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
1,1,Cladocora,1,30,Leonid,20230920,N,9/20/2023,30670,609.6,14,29.5,16.5,353,708.3,355.3,0.502,385.3,0.12,0.69,334,0.22,2099,0.09,81397,--------,-------,767,8021,0,745.3,869,123.7,0.142,211,0.06,0.253,649,0.043,11299,0.704,11307,--------,-------,8487,8606,117.8
2,2,Cladocora,1,30,Leonid,20230920,N,9/20/2023,30680,766.2,14,29.5,16.49,301.4,594.6,293.2,0.493,375.2,0.14,0.66,368,0.25,2179,0.1,113811,--------,-------,863,11662,0,673.3,776.6,103.3,0.133,238.3,0,0.25,778,0.054,9488,0.696,9492,--------,-------,7187,7311,139.1
3,3,Cladocora,1,30,Leonid,20230920,N,9/20/2023,30693,600.3,13.9,29.5,16.49,334.3,665.4,331.1,0.498,389.3,0.15,0.66,291,0.25,1769,0.09,104182,--------,-------,691,10327,0,890.7,1013.8,123.1,0.121,217.5,0,0.2,626,0.055,11580,0.745,11594,--------,-------,9269,9395,107.9
4,4,Cladocora,1,30,Leonid,20230920,N,9/20/2023,30700,471.3,13.9,29.5,16.48,243.6,465.3,221.8,0.477,333.6,0.09,0.71,407,0.18,3576,0.11,73977,--------,-------,1044,9268,200,567,646.6,79.6,0.123,197.5,0.03,0.203,552,0.033,14654,0.764,14661,--------,-------,11698,11796,85.5
5,5,Cladocora,1,30,Leonid,20230920.01,N,9/20/2023,30708,600.9,13.9,29.5,16.48,349.6,684.3,334.7,0.489,417.2,0.18,0.65,346,0.25,2103,0.1,136976,--------,-------,830,14338,0,867.6,997.5,129.9,0.13,229.3,0,0.246,749,0.055,10610,0.699,10611,--------,-------,8044,8185,124.3
6,6,Cladocora,2,30,Leonid,20230920.01,N,9/20/2023,30807,595,13.8,29.6,16.44,280.6,536,255.4,0.476,424.2,0.16,0.73,375,0.17,2439,0.1,106432,--------,-------,773,11429,0,648.7,751,102.3,0.136,202.5,0.02,0.253,676,0.7,11903,0.047,11914,--------,-------,8927,9067,112
7,7,Cladocora,2,30,Leonid,20230920.01,N,9/20/2023,30818,636.6,13.8,29.6,16.44,303.6,561.6,258,0.459,393.5,0.13,0.68,322,0.21,1760,0.11,146492,--------,-------,655,17180,200,783.3,895.8,112.5,0.126,211.7,0,0.235,680,0.714,11505,0.051,11507,--------,-------,8828,8965,113.3
8,8,Cladocora,2,30,Leonid,20230920.01,N,9/20/2023,30827,616.1,13.8,29.6,16.44,293.3,560.3,267,0.476,408.3,0.14,0.69,355,0.2,1896,0.11,105584,--------,-------,699,12285,0,734.5,847.1,112.6,0.133,208.5,0.02,0.239,582,0.706,12195,0.055,12202,--------,-------,9260,9422,108
9,9,Cladocora,2,30,Leonid,20230920.01,N,9/20/2023,30835,621.9,13.8,29.6,16.43,382.2,711.7,329.5,0.463,441,0.1,0.69,347,0.21,1872,0.1,86894,--------,-------,705,9166,0,870.4,1003.8,133.4,0.133,220.3,0,0.249,743,0.696,10783,0.055,10788,--------,-------,8135,8280,122.9
10,10,Cladocora,2,30,Leonid,20230920.01,N,9/20/2023,30845,553.7,13.8,29.6,16.43,314.4,593.3,278.9,0.47,408.6,0.16,0.66,309,0.24,1671,0.1,87151,--------,-------,669,9433,0,736.8,843.4,106.6,0.126,215.9,0,0.229,611,0.734,13346,0.037,13349,--------,-------,10320,10432,96.9
11,11,Cladocora,3,30,Leonid,20230920.01,N,9/20/2023,30913,551.6,13.8,29.6,16.41,309.8,607.2,297.4,0.49,400.9,0.11,0.64,294,0.25,1901,0.1,82661,--------,-------,748,9147,0,717.4,827.5,110.1,0.133,208.2,0,0.237,680,0.038,12220,0.724,12229,--------,-------,9380,9489,106.6
12,12,Cladocora,3,30,Leonid,20230920.01,N,9/20/2023,30922,504.3,13.8,29.6,16.41,314.6,612.2,297.6,0.486,402.5,0.09,0.64,324,0.26,1946,0.11,90535,--------,-------,791,10411,0,695.8,800.3,104.4,0.13,220.6,0,0.237,684,0.035,13362,0.728,13368,--------,-------,10251,10359,97.6
13,13,Cladocora,3,30,Leonid,20230920.01,N,9/20/2023,30934,453.4,13.8,29.6,16.4,332.7,638.3,305.6,0.479,421.9,0.07,0.73,392,0.17,2977,0.1,142329,--------,-------,879,15298,0,747.8,844,96.2,0.114,242.8,0.17,0.128,712,0.779,14556,0.093,29849,--------,-------,12606,14211,79.3
14,14,Cladocora,3,30,Leonid,20230920.01,N,9/20/2023,30943,517.1,13.8,29.6,16.4,324.8,619.2,294.5,0.476,425.4,0.09,0.66,346,0.23,1803,0.11,74873,--------,-------,724,9115,0,676.5,782.6,106.1,0.136,206.6,0,0.244,611,0.058,12469,0.698,12471,--------,-------,9398,9576,106.4
15,15,Cladocora,3,30,Leonid,20230920.02,N,9/20/2023,30953,379.5,13.9,29.6,16.4,261,491.3,230.3,0.469,367.4,0.07,0.62,318,0.24,1978,0.13,65601,--------,-------,786,9477,0,550.7,635.1,84.3,0.133,175.2,0,0.232,551,0.076,15944,0.692,15964,--------,-------,12088,12379,82.7
16,16,Cladocora,4,30,Leonid,20230920.02,N,9/20/2023,31011,377.9,13.9,29.6,16.38,347.5,666.7,319.2,0.479,394.5,0.07,0.64,319,0.24,1997,0.12,114350,--------,-------,778,14053,0,767.1,883.7,116.7,0.132,199.1,0,0.252,607,0.709,16072,0.039,16092,--------,-------,12023,12182,83.2
17,17,Cladocora,4,30,Leonid,20230920.02,N,9/20/2023,31019,502.8,13.8,29.6,16.38,340.8,656.9,316.1,0.481,437.1,0.1,0.62,316,0.28,1569,0.1,92154,--------,-------,703,10072,0,712.9,822.1,109.2,0.133,215.3,0,0.224,602,0.074,12948,0.702,12957,--------,-------,9971,10192,100.3
