Date;Time;No.;PAR;F1;F2;F3;F4;Fm'1;Fm'2;Fm'3;Fm'4;Fo'1;Fo'2;Fo'3;Fo'4;Y(II)1;Y(II)2;Y(II)3;Y(II)4;NPQ1;NPQ2;NPQ3;NPQ4;ETR1;ETR2;ETR3;ETR4;
19.09.23;11:22:34;1;0;0.0500;0.0525;0.0632;0.0559;0.1127;0.0966;0.1706;0.1309;0.0500;0.0525;0.0632;0.0559;0.557;0.457;0.629;0.573;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;
19.09.23;11:25:37;2;1;0.0525;0.0539;0.0676;0.0578;0.1108;0.0975;0.1672;0.1289;0.0496;0.0527;0.0628;0.0555;0.527;0.447;0.595;0.551;0.000;0.000;0.000;0.000;  0.2;  0.2;  0.3;  0.2;
19.09.23;11:28:40;3;21;0.0554;0.0559;0.0770;0.0652;0.1078;0.0961;0.1647;0.1270;0.0490;0.0523;0.0624;0.0552;0.486;0.418;0.533;0.486;0.000;0.000;0.000;0.000;  4.3;  3.7;  4.7;  4.3;
19.09.23;11:31:42;4;56;0.0574;0.0574;0.0809;0.0686;0.1039;0.0917;0.1574;0.1216;0.0482;0.0510;0.0613;0.0541;0.448;0.374;0.486;0.435;0.020;0.000;0.020;0.020; 10.5;  8.8; 11.4; 10.2;
19.09.23;11:34:45;5;111;0.0598;0.0583;0.0868;0.0730;0.0985;0.0868;0.1495;0.1162;0.0470;0.0494;0.0601;0.0530;0.393;0.328;0.420;0.371;0.035;0.027;0.035;0.031; 18.3; 15.3; 19.6; 17.3;
19.09.23;11:37:47;6;186;0.0603;0.0559;0.0907;0.0745;0.0902;0.0789;0.1387;0.1069;0.0450;0.0468;0.0583;0.0510;0.332;0.292;0.346;0.303;0.063;0.055;0.059;0.055; 25.9; 22.8; 27.1; 23.7;
19.09.23;11:40:50;7;281;0.0588;0.0544;0.0897;0.0735;0.0809;0.0706;0.1235;0.0931;0.0426;0.0437;0.0554;0.0476;0.273;0.229;0.274;0.211;0.098;0.090;0.094;0.102; 32.2; 27.0; 32.3; 24.8;
19.09.23;11:43:52;8;336;0.0569;0.0520;0.0868;0.0711;0.0745;0.0642;0.1157;0.0873;0.0407;0.0412;0.0538;0.0461;0.237;0.191;0.250;0.185;0.129;0.125;0.118;0.125; 33.4; 26.9; 35.3; 26.2;
19.09.23;11:46:55;9;396;0.0559;0.0510;0.0853;0.0696;0.0706;0.0627;0.1078;0.0819;0.0395;0.0406;0.0520;0.0445;0.208;0.188;0.209;0.150;0.149;0.133;0.145;0.149; 34.7; 31.2; 34.8; 24.9;
19.09.23;11:49:57;10;461;0.0559;0.0520;0.0853;0.0681;0.0672;0.0588;0.1020;0.0770;0.0384;0.0389;0.0506;0.0430;0.168;0.117;0.163;0.115;0.169;0.161;0.169;0.176; 32.5; 22.6; 31.6; 22.2;
19.09.23;11:53:00;11;531;0.0549;0.0490;0.0833;0.0657;0.0642;0.0564;0.0975;0.0735;0.0374;0.0378;0.0495;0.0419;0.145;0.130;0.146;0.107;0.188;0.176;0.188;0.196; 32.3; 29.1; 32.5; 23.8;
