Date;Time;No.;PAR;F1;F2;F3;F4;Fm'1;Fm'2;Fm'3;Fm'4;Fo'1;Fo'2;Fo'3;Fo'4;Y(II)1;Y(II)2;Y(II)3;Y(II)4;NPQ1;NPQ2;NPQ3;NPQ4;ETR1;ETR2;ETR3;ETR4;
19.09.23;13:14:43;1;0;0.0564;0.0466;0.0490;0.0480;0.1407;0.0995;0.1265;0.1127;0.0564;0.0466;0.0490;0.0480;0.599;0.532;0.612;0.574;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;
19.09.23;13:17:46;2;1;0.0574;0.0475;0.0510;0.0475;0.1348;0.0936;0.1196;0.1093;0.0554;0.0452;0.0480;0.0474;0.575;0.492;0.574;0.565;0.000;0.000;0.000;0.000;  0.2;  0.2;  0.2;  0.2;
19.09.23;13:20:49;3;21;0.0686;0.0529;0.0578;0.0539;0.1294;0.0917;0.1181;0.1083;0.0545;0.0448;0.0477;0.0472;0.470;0.422;0.510;0.502;0.024;0.000;0.016;0.000;  4.1;  3.7;  4.5;  4.4;
19.09.23;13:23:51;4;56;0.0770;0.0564;0.0647;0.0593;0.1304;0.0892;0.1176;0.1088;0.0546;0.0442;0.0476;0.0473;0.410;0.368;0.450;0.455;0.020;0.027;0.020;0.000;  9.6;  8.7; 10.6; 10.7;
19.09.23;13:26:54;5;111;0.0632;0.0525;0.0559;0.0515;0.1412;0.0985;0.1230;0.1113;0.0565;0.0464;0.0485;0.0478;0.552;0.468;0.546;0.537;0.000;0.000;0.000;0.000; 25.7; 21.8; 25.4; 25.1;
19.09.23;13:29:56;6;186;0.0975;0.0657;0.0863;0.0755;0.1260;0.0843;0.1137;0.1039;0.0539;0.0429;0.0470;0.0464;0.226;0.221;0.241;0.274;0.027;0.043;0.027;0.020; 17.6; 17.3; 18.9; 21.4;
19.09.23;13:32:59;7;281;0.0936;0.0613;0.0828;0.0735;0.1132;0.0745;0.0990;0.0931;0.0514;0.0402;0.0443;0.0441;0.173;0.178;0.163;0.211;0.059;0.082;0.071;0.051; 20.4; 21.0; 19.3; 24.8;
19.09.23;13:36:01;8;336;0.0887;0.0569;0.0784;0.0672;0.1029;0.0662;0.0922;0.0843;0.0492;0.0377;0.0428;0.0420;0.138;0.141;0.149;0.203;0.090;0.125;0.094;0.082; 19.5; 19.9; 21.0; 28.7;
19.09.23;13:39:04;9;396;0.0593;0.0475;0.0559;0.0485;0.1098;0.0770;0.0975;0.0868;0.0507;0.0410;0.0440;0.0426;0.460;0.382;0.427;0.441;0.071;0.075;0.075;0.075; 76.5; 63.6; 71.0; 73.3;
19.09.23;13:42:06;10;461;0.0887;0.0583;0.0794;0.0672;0.1000;0.0647;0.0887;0.0779;0.0485;0.0372;0.0421;0.0404;0.113;0.098;0.105;0.138;0.102;0.133;0.106;0.110; 21.8; 19.1; 20.3; 26.8;
19.09.23;13:45:09;11;531;0.0873;0.0574;0.0784;0.0667;0.0946;0.0618;0.0833;0.0750;0.0472;0.0362;0.0408;0.0396;0.078;0.071;0.059;0.111;0.122;0.153;0.129;0.125; 17.3; 15.9; 13.1; 24.8;
19.09.23;13:48:11;12;611;0.0828;0.0569;0.0735;0.0642;0.0873;0.0583;0.0770;0.0706;0.0453;0.0350;0.0392;0.0383;0.051;0.000;0.000;0.090;0.153;0.176;0.161;0.149; 13.0;  0.0;  0.0; 23.2;
19.09.23;13:51:14;13;701;0.0779;0.0520;0.0681;0.0593;0.0794;0.0539;0.0730;0.0672;0.0431;0.0334;0.0382;0.0373;0.000;0.000;0.067;0.117;0.192;0.212;0.184;0.169;  0.0;  0.0; 19.8; 34.4;
